0   0.03    1
0   0.04    1
0   0.05    1
0   0.10    1
0   0.15    1
0   0.20    1
0   0.25    1
0   0.30    1
0   0.35    1
0   0.40    1
0   0.41    1
0   0.42    1
0   0.43    1
0   0.44    1
0   0.45    1
0   0.46    1
0   0.47    0
0   0.48    0
0   0.49    0
0   0.50    0
0.01    0.05    2
0.01    0.10    2
0.01    0.15    1
0.01    0.20    1
0.01    0.25    1
0.01    0.30    1
0.01    0.35    1
0.01    0.40    1
0.01    0.41    1
0.01    0.42    1
0.01    0.43    1
0.01    0.44    1
0.01    0.45    1
0.01    0.46    0
0.01    0.47    0
0.01    0.48    0
0.01    0.49    0
0.01    0.50    0
0.02    0.05    2
0.02    0.10    2
0.02    0.15    2
0.02    0.20    1
0.02    0.25    1
0.02    0.30    1
0.02    0.35    1
0.02    0.40    1
0.02    0.41    1
0.02    0.42    1
0.02    0.43    1
0.02    0.44    1
0.02    0.45    0
0.02    0.46    0
0.02    0.47    0
0.02    0.48    0
0.02    0.49    0
0.02    0.50    0
0.03    0.05    2
0.03    0.10    2
0.03    0.15    2
0.03    0.20    2
0.03    0.25    1
0.03    0.30    1
0.03    0.35    1
0.03    0.40    1
0.03    0.41    1
0.03    0.42    2
0.03    0.43    2
0.03    0.44    0
0.03    0.45    0
0.03    0.46    0
0.03    0.47    0
0.03    0.48    0
0.03    0.49    0
0.03    0.50    0
0.04    0.05    2
0.04    0.10    2
0.04    0.15    2
0.04    0.20    2
0.04    0.25    2
0.04    0.30    2
0.04    0.35    1
0.04    0.40    2
0.04    0.41    2
0.04    0.42    2
0.04    0.43    2
0.04    0.44    0
0.04    0.45    0
0.04    0.50    0
0.05    0.05    2
0.05    0.10    2
0.05    0.15    2
0.05    0.20    2
0.05    0.25    2
0.05    0.30    2
0.05    0.35    2
0.05    0.40    2
0.05    0.41    2
0.05    0.42    2
0.05    0.43    2
0.05    0.44    0
0.05    0.45    0
0.05    0.50    0
0.10    0.05    2
0.10    0.10    2
0.10    0.15    2
0.10    0.20    2
0.10    0.25    2
0.10    0.30    2
0.10    0.35    2
0.10    0.40    2
0.10    0.45    0
0.10    0.50    0
0.20    0.05    2
0.20    0.10    2
0.20    0.15    2
0.20    0.20    2
0.20    0.25    2
0.20    0.30    2
0.20    0.35    2
0.20    0.40    0
0.20    0.45    0
0.20    0.50    0
0.30    0.05    2
0.30    0.10    2
0.30    0.15    2
0.30    0.20    2
0.30    0.25    2
0.30    0.30    2
0.30    0.35    0
0.30    0.40    0
0.30    0.45    0
0.30    0.50    0
0.40    0.05    2
0.40    0.10    2
0.40    0.15    2
0.40    0.20    2
0.40    0.25    0
0.40    0.30    0
0.40    0.35    0
0.40    0.40    0
0.40    0.45    0
0.40    0.50    0
0.50    0.05    0
0.50    0.10    0
0.50    0.15    0
0.50    0.20    0
0.50    0.25    0
0.50    0.30    0
0.50    0.35    0
0.50    0.40    0
0.50    0.45    0
0.50    0.50    0
