0.03    0.05    0
0.03    0.10    0
0.03    0.15    0
0.03    0.20    0
0.03    0.25    0
0.03    0.30    0
0.03    0.35    0
0.03    0.40    0
0.03    0.45    0
0.03    0.50    0
0.05    0.05    0
0.05    0.10    0
0.05    0.15    0
0.05    0.20    0
0.05    0.25    0
0.05    0.30    0
0.05    0.35    0
0.05    0.40    0
0.05    0.45    0
0.05    0.50    0
0.10    0.05    2
0.10    0.10    2
0.10    0.15    2
0.10    0.20    2
0.10    0.25    2
0.10    0.30    0
0.10    0.35    0
0.10    0.40    0
0.10    0.45    0
0.10    0.50    0
0.20    0.05    2
0.20    0.10    2
0.20    0.15    2
0.20    0.20    2
0.20    0.25    2
0.20    0.30    2
0.20    0.35    0
0.20    0.40    0
0.20    0.45    0
0.20    0.50    0
0.30    0.05    2
0.30    0.10    2
0.30    0.15    2
0.30    0.20    2
0.30    0.25    2
0.30    0.30    2
0.30    0.35    2
0.30    0.40    0
0.30    0.45    0
0.30    0.50    0
0.40    0.05    2
0.40    0.10    2
0.40    0.15    2
0.40    0.20    2
0.40    0.25    2
0.40    0.30    2
0.40    0.35    2
0.40    0.40    2
0.40    0.45    0
0.40    0.50    0
0.50    0.05    2
0.50    0.10    2
0.50    0.15    2
0.50    0.20    2
0.50    0.25    2
0.50    0.30    2
0.50    0.35    2
0.50    0.40    2
0.50    0.45    0
0.50    0.50    0
0.60    0.05    2
0.60    0.10    2
0.60    0.15    2
0.60    0.20    2
0.60    0.25    2
0.60    0.30    2
0.60    0.35    2
0.60    0.40    2
0.60    0.45    0
0.60    0.50    0
0.80    0.05    2
0.80    0.10    2
0.80    0.15    2
0.80    0.20    2
0.80    0.25    2
0.80    0.30    1
0.80    0.35    1
0.80    0.40    2
0.80    0.45    0
0.80    0.50    0
1.00    0.05    2
1.00    0.10    2
1.00    0.15    2
1.00    0.20    2
1.00    0.25    1
1.00    0.30    1
1.00    0.35    1
1.00    0.40    1
1.00    0.45    0
1.00    0.50    0
1.20    0.05    2
1.20    0.10    2
1.20    0.15    2
1.20    0.20    1
1.20    0.25    1
1.20    0.30    1
1.20    0.35    1
1.20    0.40    1
1.20    0.45    0
1.20    0.50    0
